Size Fraction ID,Particle ID,Mineral ID,Volume%,Particle Area,Mineral Area,Weight%,Particle Weight,Mineral Weight
0,1,51,8709,945,823,8722,490654,427960
0,1,55,190,945,18,171,490654,8406
0,1,56,804,945,76,809,490654,39672
0,1,57,296,945,28,298,490654,14616
0,2,55,10000,14,14,10000,6538,6538
0,3,51,10000,31,31,10000,16120,16120
0,4,51,8600,1157,995,8614,600644,517400
0,4,55,207,1157,24,187,600644,11208
0,4,56,882,1157,102,886,600644,53244
0,4,57,311,1157,36,313,600644,18792
0,5,30,9645,1014,978,9495,332706,315894
0,5,55,355,1014,36,505,332706,16812
0,8,30,10000,12,12,10000,3876,3876
0,6,51,9286,784,728,9281,407876,378560
0,6,56,357,784,28,358,407876,14616
0,6,58,357,784,28,360,407876,14700
0,9,51,1397,229,32,1485,112033,16640
0,9,53,873,229,20,794,112033,8900
0,9,78,5284,229,121,5411,112033,60621
0,9,79,2445,229,56,2309,112033,25872
0,10,51,9207,479,441,9282,247066,229320
0,10,55,793,479,38,718,247066,17746
0,11,51,7872,94,74,8047,47820,38480
0,11,55,2128,94,20,1953,47820,9340
0,12,11,6613,5355,3541,6461,1973150,1274760
0,12,12,3387,5355,1814,3539,1973150,698390
0,13,46,10000,382,382,10000,267400,267400
0,14,82,10000,1008,1008,10000,611856,611856
0,15,55,10000,31,31,10000,14477,14477
0,18,46,10000,172,172,10000,120400,120400
0,21,46,10000,104,104,10000,72800,72800
0,22,51,5088,57,29,5356,28156,15080
0,22,55,4912,57,28,4644,28156,13076
0,23,1,2097,248,52,1401,98348,13780
0,23,2,5000,248,124,5346,98348,52576
0,23,52,2742,248,68,3063,98348,30124
0,23,55,161,248,4,190,98348,1868
0,24,11,6786,140,95,6638,51525,34200
0,24,12,3214,140,45,3362,51525,17325
0,27,57,10000,40,40,10000,20880,20880
0,30,29,588,425,25,370,218242,8075
0,30,46,729,425,31,994,218242,21700
0,30,48,141,425,6,161,218242,3516
0,30,51,3906,425,166,3955,218242,86320
0,30,54,612,425,26,684,218242,14924
0,30,55,2376,425,101,2161,218242,47167
0,30,56,635,425,27,646,218242,14094
0,30,57,1012,425,43,1028,218242,22446
0,31,51,10000,59,59,10000,30680,30680
0,32,55,10000,25,25,10000,11675,11675
0,16,57,10000,45,45,10000,23490,23490
0,17,51,10000,65,65,10000,33800,33800
0,34,51,10000,70,70,10000,36400,36400
0,36,51,8082,146,118,8067,76060,61360
0,36,58,1918,146,28,1933,76060,14700
0,37,46,9322,339,316,9426,234678,221200
0,37,48,678,339,23,574,234678,13478
0,38,56,10000,18,18,10000,9396,9396
0,40,51,3333,15,5,3576,7270,2600
0,40,55,6667,15,10,6424,7270,4670
0,45,51,7414,58,43,7395,30235,22360
0,45,58,2586,58,15,2605,30235,7875
0,50,51,5789,95,55,5780,49480,28600
0,50,56,4211,95,40,4220,49480,20880
0,51,81,10000,25,25,10000,12675,12675
0,54,55,10000,11,11,10000,5137,5137
0,55,51,8562,153,131,8557,79604,68120
0,55,56,1438,153,22,1443,79604,11484
0,56,11,8034,117,94,7926,42695,33840
0,56,12,1966,117,23,2074,42695,8855
0,58,51,10000,15,15,10000,7800,7800
0,62,55,10000,15,15,10000,7005,7005
0,71,30,165,1817,30,103,937802,9690
0,71,51,9180,1817,1668,9249,937802,867360
0,71,55,154,1817,28,139,937802,13076
0,71,57,182,1817,33,184,937802,17226
0,71,58,319,1817,58,325,937802,30450
0,72,11,6761,3726,2519,6633,1367161,906840
0,72,12,2974,3726,1108,3120,1367161,426580
0,72,23,97,3726,36,96,1367161,13140
0,72,24,169,3726,63,151,1367161,20601
0,19,51,10000,141,141,10000,73320,73320
0,20,51,10000,75,75,10000,39000,39000
0,74,46,10000,191,191,10000,133700,133700
0,75,51,8007,2956,2367,8008,1537063,1230840
0,75,55,98,2956,29,88,1537063,13543
0,75,56,1184,2956,350,1189,1537063,182700
0,75,57,467,2956,138,469,1537063,72036
0,75,58,122,2956,36,123,1537063,18900
0,75,59,122,2956,36,124,1537063,19044
0,78,1,1294,2643,342,822,1102917,90630
0,78,2,643,2643,170,654,1102917,72080
0,78,7,639,2643,169,440,1102917,48503
0,78,11,677,2643,179,584,1102917,64440
0,78,12,132,2643,35,122,1102917,13475
0,78,21,197,2643,52,186,1102917,20540
0,78,22,155,2643,41,118,1102917,13038
0,78,23,507,2643,134,443,1102917,48910
0,78,26,125,2643,33,90,1102917,9900
0,78,29,333,2643,88,258,1102917,28424
0,78,51,2641,2643,698,3291,1102917,362960
0,78,52,219,2643,58,233,1102917,25694
0,78,55,2191,2643,579,2452,1102917,270393
0,78,56,246,2643,65,308,1102917,33930
0,79,30,315,6574,207,212,3150505,66861
0,79,51,7327,6574,4817,7951,3150505,2504840
0,79,55,198,6574,130,193,3150505,60710
0,79,56,348,6574,229,379,3150505,119538
0,79,57,172,6574,113,187,3150505,58986
0,79,64,1640,6574,1078,1078,3150505,339570
0,81,77,10000,896,896,10000,358400,358400
