Size Fraction ID,Particle ID,Mineral ID,Volume%,Particle Area,Mineral Area,Weight%,Particle Weight,Mineral Weight
0,7,20,10000,10,10,10000,3420,3420
0,8,11,3740,254,95,4073,83975,34200
0,8,15,1417,254,36,1492,83975,12528
0,8,20,1654,254,42,1711,83975,14364
0,8,34,3189,254,81,2725,83975,22883
0,9,1,8412,170,143,8302,45644,37895
0,9,7,1588,170,27,1698,45644,7749
0,10,30,10000,49,49,10000,15827,15827
0,11,6,10000,10,10,10000,2800,2800
0,12,30,10000,94,94,10000,30362,30362
0,13,8,10000,174,174,10000,44544,44544
0,14,7,10000,18,18,10000,5166,5166
0,17,20,10000,292,292,10000,99864,99864
0,18,13,10000,22,22,10000,7568,7568
0,19,68,10000,14,14,10000,4382,4382
0,20,68,10000,20,20,10000,6260,6260
0,21,34,10000,47,47,10000,13278,13278
0,23,32,10000,11,11,10000,3333,3333
0,25,29,10000,19,19,10000,6137,6137
0,28,20,10000,11,11,10000,3762,3762
0,29,6,10000,114,114,10000,31920,31920
0,30,20,10000,10,10,10000,3420,3420
0,31,69,10000,35,35,10000,9485,9485
0,32,19,1223,139,17,1033,50994,5270
0,32,20,6475,139,90,6036,50994,30780
0,32,55,2302,139,32,2931,50994,14944
0,38,19,6587,208,137,6362,66752,42470
0,38,20,3413,208,71,3638,66752,24282
0,39,33,10000,19,19,10000,5700,5700
0,40,51,3904,146,57,4163,71203,29640
0,40,55,6096,146,89,5837,71203,41563
0,42,1,6142,1765,1084,5693,504581,287260
0,42,6,742,1765,131,727,504581,36680
0,42,7,640,1765,113,643,504581,32431
0,42,8,91,1765,16,81,504581,4096
0,42,30,776,1765,137,877,504581,44251
0,42,32,453,1765,80,480,504581,24240
0,42,33,278,1765,49,291,504581,14700
0,42,34,334,1765,59,330,504581,16668
0,42,52,136,1765,24,211,504581,10632
0,42,55,408,1765,72,666,504581,33624
0,43,34,10000,35,35,10000,9888,9888
0,44,10,10000,24,24,10000,6360,6360
0,49,7,8855,166,147,8966,47053,42189
0,49,8,1145,166,19,1034,47053,4864
0,50,33,10000,16,16,10000,4800,4800
0,52,34,10000,13,13,10000,3673,3673
0,1,29,10000,32,32,10000,10336,10336
0,2,20,10000,21,21,10000,7182,7182
0,55,9,10000,229,229,10000,59998,59998
0,56,20,10000,14,14,10000,4788,4788
0,60,19,10000,11,11,10000,3410,3410
0,4,1,10000,9,9,10000,2385,2385
0,5,1,10000,179,179,10000,47435,47435
0,63,19,10000,58,58,10000,17980,17980
0,64,8,10000,53,53,10000,13568,13568
0,65,11,10000,37,37,10000,13320,13320
0,66,11,693,534,37,651,204665,13320
0,66,12,9307,534,497,9349,204665,191345
0,482,34,10000,13,13,10000,3673,3673
0,71,55,10000,20,20,10000,9340,9340
0,15,11,5140,2393,1230,5168,856863,442800
0,15,12,2637,2393,631,2835,856863,242935
0,15,20,953,2393,228,910,856863,77976
0,15,28,351,2393,84,258,856863,22092
0,15,29,919,2393,220,829,856863,71060
0,16,11,10000,20,20,10000,7200,7200
0,24,11,10000,38,38,10000,13680,13680
0,76,1,10000,56,56,10000,14840,14840
0,78,68,10000,18,18,10000,5634,5634
0,79,1,2704,832,225,2519,236655,59625
0,79,3,709,832,59,661,236655,15635
0,79,6,1466,832,122,1443,236655,34160
0,79,7,3221,832,268,3250,236655,76916
0,79,11,300,832,25,380,236655,9000
0,79,32,373,832,31,397,236655,9393
0,79,68,1226,832,102,1349,236655,31926
0,80,23,10000,195,195,10000,71175,71175
0,81,19,9114,2438,2222,9011,764463,688820
0,81,20,570,2438,139,622,764463,47538
0,81,23,316,2438,77,368,764463,28105
0,82,8,2202,486,107,1678,163198,27392
0,82,11,5823,486,283,6243,163198,101880
0,82,15,453,486,22,469,163198,7656
0,82,17,1523,486,74,1610,163198,26270
0,83,11,10000,123,123,10000,44280,44280
0,84,56,10000,25,25,10000,13050,13050
0,85,29,4701,134,63,4874,41751,20349
0,85,32,2537,134,34,2467,41751,10302
0,85,33,2761,134,37,2659,41751,11100
0,87,29,10000,19,19,10000,6137,6137
0,88,33,10000,103,103,10000,30900,30900
0,95,55,10000,51,51,10000,23817,23817
0,26,8,6667,12,8,5995,3416,2048
0,26,20,3333,12,4,4005,3416,1368
0,27,8,10000,19,19,10000,4864,4864
0,33,8,10000,8,8,10000,2048,2048
0,98,28,10000,40,40,10000,10520,10520
0,99,34,10000,35,35,10000,9888,9888
0,100,34,10000,12,12,10000,3390,3390
0,34,20,9497,795,755,9523,271130,258210
0,34,29,503,795,40,477,271130,12920
0,35,20,8416,101,85,8491,34238,29070
0,35,29,1584,101,16,1509,34238,5168
0,105,9,10000,29,29,10000,7598,7598
0,106,20,10000,73,73,10000,24966,24966
0,109,11,10000,49,49,10000,17640,17640
0,110,7,3028,109,33,2784,34019,9471
0,110,29,6972,109,76,7216,34019,24548
0,111,8,231,1297,30,210,365608,7680
0,111,34,9769,1297,1267,9790,365608,357928
0,112,1,10000,14,14,10000,3710,3710
0,114,29,10000,21,21,10000,6783,6783
0,118,1,8477,2239,1898,8250,609628,502970
0,118,7,353,2239,79,372,609628,22673
0,118,20,339,2239,76,426,609628,25992
0,118,22,487,2239,109,569,609628,34662
0,118,32,344,2239,77,383,609628,23331
0,121,11,4292,226,97,4453,78411,34920
0,121,20,4248,226,96,4187,78411,32832
0,121,29,1460,226,33,1359,78411,10659
0,123,30,10000,59,59,10000,19057,19057
0,126,7,10000,13,13,10000,3731,3731
0,127,20,10000,15,15,10000,5130,5130
0,128,29,6129,124,76,6377,38493,24548
0,128,33,1774,124,22,1715,38493,6600
0,128,34,2097,124,26,1908,38493,7345
0,129,1,10000,72,72,10000,19080,19080
0,130,1,10000,40,40,10000,10600,10600
0,132,1,1286,311,40,1152,92047,10600
0,132,32,1576,311,49,1613,92047,14847
0,132,33,7138,311,222,7235,92047,66600
0,133,11,10000,12,12,10000,4320,4320
0,134,10,10000,15,15,10000,3975,3975
0,135,11,4863,255,124,4695,95075,44640
0,135,12,5137,255,131,5305,95075,50435
0,136,11,10000,73,73,10000,26280,26280
0,137,51,10000,30,30,10000,15600,15600
0,139,11,10000,21,21,10000,7560,7560
0,141,1,10000,12,12,10000,3180,3180
0,143,11,10000,41,41,10000,14760,14760
0,144,34,10000,16,16,10000,4520,4520
0,147,7,10000,29,29,10000,8323,8323
0,148,11,10000,40,40,10000,14400,14400
0,149,33,10000,116,116,10000,34800,34800
0,150,8,1212,726,88,994,226723,22528
0,150,11,165,726,12,191,226723,4320
0,150,20,2259,726,164,2474,226723,56088
0,150,30,441,726,32,456,226723,10336
0,150,31,854,726,62,1187,226723,26908
0,150,33,3237,726,235,3110,226723,70500
0,150,70,1832,726,133,1590,226723,36043
0,151,8,10000,43,43,10000,11008,11008
0,152,19,8601,143,123,8479,44970,38130
0,152,20,1399,143,20,1521,44970,6840
0,154,11,6447,912,588,5724,369828,211680
0,154,12,285,912,26,271,369828,10010
0,154,51,1469,912,134,1884,369828,69680
0,154,55,1425,912,130,1642,369828,60710
0,154,57,373,912,34,480,369828,17748
0,158,8,10000,38,38,10000,9728,9728
0,161,20,10000,12,12,10000,4104,4104
0,162,29,5449,178,97,5449,57494,31331
0,162,30,4551,178,81,4551,57494,26163
0,163,30,10000,17,17,10000,5491,5491
0,165,23,10000,11,11,10000,4015,4015
0,166,11,10000,10,10,10000,3600,3600
0,168,29,10000,32,32,10000,10336,10336
0,169,8,10000,19,19,10000,4864,4864
0,171,1,5171,234,121,4855,66043,32065
0,171,32,1111,234,26,1193,66043,7878
0,171,33,3718,234,87,3952,66043,26100
0,173,34,10000,15,15,10000,4238,4238
0,174,10,10000,42,42,10000,11130,11130
0,175,10,470,617,29,373,205945,7685
0,175,11,681,617,42,734,205945,15120
0,175,23,1961,617,121,2145,205945,44165
0,175,24,6888,617,425,6748,205945,138975
0,176,20,10000,10,10,10000,3420,3420
0,36,34,10000,24,24,10000,6780,6780
0,37,34,10000,15,15,10000,4238,4238
0,182,11,10000,39,39,10000,14040,14040
0,183,9,10000,52,52,10000,13624,13624
0,186,20,4020,102,41,3679,38117,14022
0,186,21,5980,102,61,6321,38117,24095
0,187,12,10000,111,111,10000,42735,42735
0,41,34,10000,43,43,10000,12148,12148
0,45,34,10000,19,19,10000,5368,5368
0,46,34,10000,6,6,10000,1695,1695
0,47,35,10000,11,11,10000,3108,3108
0,51,35,10000,2,2,10000,565,565
0,54,35,10000,1,1,10000,283,283
0,57,35,10000,9,9,10000,2543,2543
0,58,35,10000,10,10,10000,2825,2825
0,59,35,10000,4,4,10000,1130,1130
0,61,35,10000,26,26,10000,7345,7345
0,62,34,3143,35,11,3143,9888,3108
0,62,35,6857,35,24,6857,9888,6780
0,67,34,10000,71,71,10000,20058,20058
0,189,1,10000,43,43,10000,11395,11395
0,190,9,4909,110,54,4201,33676,14148
0,190,23,2909,110,32,3468,33676,11680
0,190,24,2182,110,24,2330,33676,7848
0,191,68,10000,14,14,10000,4382,4382
0,197,1,233,1158,27,187,382921,7155
0,197,7,1313,1158,152,1139,382921,43624
0,197,20,7772,1158,900,8038,382921,307800
0,197,22,233,1158,27,224,382921,8586
0,197,32,449,1158,52,411,382921,15756
0,68,20,10000,24,24,10000,8208,8208
0,69,20,8634,205,177,8455,71594,60534
0,69,21,1366,205,28,1545,71594,11060
0,70,20,7237,152,110,7350,51186,37620
0,70,30,2763,152,42,2650,51186,13566
0,72,20,10000,41,41,10000,14022,14022
0,201,8,10000,27,27,10000,6912,6912
0,202,25,10000,49,49,10000,15435,15435
0,203,41,10000,11,11,10000,4070,4070
0,205,20,637,597,38,671,193553,12996
0,205,30,9363,597,559,9329,193553,180557
0,73,51,10000,33,33,10000,17160,17160
0,75,51,5725,393,225,5784,202276,117000
0,75,55,1120,393,44,1016,202276,20548
0,75,56,1858,393,73,1884,202276,38106
0,75,57,1298,393,51,1316,202276,26622
0,208,7,10000,11,11,10000,3157,3157
0,209,23,10000,67,67,10000,24455,24455
0,210,8,1604,293,47,1536,78347,12032
0,210,10,7543,293,221,7475,78347,58565
0,210,19,853,293,25,989,78347,7750
0,213,7,10000,28,28,10000,8036,8036
0,217,55,10000,41,41,10000,19147,19147
0,218,13,10000,195,195,10000,67080,67080
0,219,10,10000,67,67,10000,17755,17755
0,220,10,10000,20,20,10000,5300,5300
0,224,23,8495,186,158,8845,65202,57670
0,224,71,1505,186,28,1155,65202,7532
0,225,55,10000,22,22,10000,10274,10274
0,226,20,10000,44,44,10000,15048,15048
0,227,32,10000,10,10,10000,3030,3030
0,228,68,10000,30,30,10000,9390,9390
0,230,1,10000,104,104,10000,27560,27560
0,231,12,10000,25,25,10000,9625,9625
0,232,40,10000,14,14,10000,5082,5082
0,233,77,10000,232,232,10000,92800,92800
0,235,34,10000,24,24,10000,6780,6780
0,102,9,10000,46,46,10000,12052,12052
0,103,9,10000,74,74,10000,19388,19388
0,104,34,10000,158,158,10000,44635,44635
0,107,34,10000,35,35,10000,9888,9888
0,108,34,10000,50,50,10000,14125,14125
0,113,34,10000,13,13,10000,3673,3673
0,243,13,10000,32,32,10000,11008,11008
0,244,19,10000,51,51,10000,15810,15810
0,245,11,10000,10,10,10000,3600,3600
0,116,29,10000,60,60,10000,19380,19380
0,119,9,1311,328,43,1256,89708,11266
0,119,10,6006,328,197,5819,89708,52205
0,119,29,1037,328,34,1224,89708,10982
0,119,34,1646,328,54,1701,89708,15255
0,120,29,10000,6,6,10000,1938,1938
0,247,20,10000,65,65,10000,22230,22230
0,248,29,10000,10,10,10000,3230,3230
0,249,20,10000,153,153,10000,52326,52326
0,250,20,10000,68,68,10000,23256,23256
0,251,34,10000,21,21,10000,5933,5933
0,252,51,3333,12,4,3576,5816,2080
0,252,55,6667,12,8,6424,5816,3736
0,254,24,10000,12,12,10000,3924,3924
0,255,10,10000,33,33,10000,8745,8745
0,258,13,2857,70,20,2869,23980,6880
0,258,20,7143,70,50,7131,23980,17100
0,259,30,10000,28,28,10000,9044,9044
0,261,19,2320,125,29,2022,44450,8990
0,261,20,1760,125,22,1693,44450,7524
0,261,55,2480,125,31,3257,44450,14477
0,261,68,3440,125,43,3028,44450,13459
0,262,1,10000,12,12,10000,3180,3180
0,122,34,9675,1171,1133,9675,330808,320073
0,122,35,325,1171,38,325,330808,10735
0,124,34,10000,42,42,10000,11865,11865
0,264,19,10000,10,10,10000,3100,3100
0,265,20,10000,32,32,10000,10944,10944
0,266,1,4525,316,143,4175,90766,37895
0,266,6,1139,316,36,1111,90766,10080
0,266,30,2025,316,64,2278,90766,20672
0,266,32,2310,316,73,2437,90766,22119
0,267,1,5566,539,300,4538,175202,79500
0,267,6,1317,539,71,1135,175202,19880
0,267,7,724,539,39,639,175202,11193
0,267,78,2393,539,129,3689,175202,64629
0,125,34,10000,234,234,10000,66105,66105
0,131,34,10000,409,409,10000,115543,115543
0,273,1,6957,46,32,6785,12498,8480
0,273,7,3043,46,14,3215,12498,4018
0,275,68,10000,23,23,10000,7199,7199
0,277,30,10000,13,13,10000,4199,4199
0,140,23,4933,75,37,5208,25931,13505
0,140,24,5067,75,38,4792,25931,12426
0,142,19,5455,44,24,5322,13980,7440
0,142,24,4545,44,20,4678,13980,6540
0,280,20,10000,10,10,10000,3420,3420
0,281,29,5065,77,39,4152,30343,12597
0,281,55,4935,77,38,5848,30343,17746
0,283,8,1852,162,30,1667,46078,7680
0,283,10,5309,162,86,4946,46078,22790
0,283,35,2160,162,35,2146,46078,9888
0,283,51,679,162,11,1241,46078,5720
0,285,8,10000,24,24,10000,6144,6144
0,287,77,10000,110,110,10000,44000,44000
0,288,11,10000,66,66,10000,23760,23760
0,290,9,10000,100,100,10000,26200,26200
0,291,3,529,681,36,402,237251,9540
0,291,7,793,681,54,653,237251,15498
0,291,12,631,681,43,698,237251,16555
0,291,19,4156,681,283,3698,237251,87730
0,291,24,2144,681,146,2012,237251,47742
0,291,51,1424,681,97,2126,237251,50440
0,291,52,323,681,22,411,237251,9746
0,293,20,10000,15,15,10000,5130,5130
0,295,11,10000,23,23,10000,8280,8280
0,298,29,10000,24,24,10000,7752,7752
0,153,68,10000,13,13,10000,4069,4069
0,155,68,10000,11,11,10000,3443,3443
0,301,7,10000,13,13,10000,3731,3731
0,303,68,10000,18,18,10000,5634,5634
0,304,9,10000,44,44,10000,11528,11528
0,307,20,10000,27,27,10000,9234,9234
0,310,11,10000,20,20,10000,7200,7200
