ID,Particle ID,Particle_Polygon_Area,Particle_Polygon_Length,Convex_Hull_Area,Convex_Hull_Length,Maximum_Dimension_Length,Maximum_Dimension_Angle,Paris_Factor,Area_Delta_Factor,Angularity,Min_Rect_Min_Length,Min_Rect_Min_Length_Angle,Min_Rect_Max_Length,Min_Rect_Max_Length_Angle,EncloseLengthDelta,FormIndex
1,1,949.9824179590862,126.92890934971285,1001.9451749774985,122.80921203580795,48.10973407873669,62.346605282242194,6.709101451939472,5.469865129719717,27.247922110500035,27.234665580432775,176.39999999999273,45.90284674935414,86.39999999999267,27.247922110500035,0.09414712750216202
2,2,13.189339828220177,13.370485242633467,13.189339828220177,13.370485242633467,3.7630128596315204,57.11948918988963,0.0,0.0,6.4815292669461755,3.742640687119385,134.99999999999523,4.656854249492463,44.99999999999524,6.4815292669461755,0.02158274968335881
3,3,30.378679656440358,20.397824734759315,30.378679656440358,20.397824734759315,6.177375469192163,12.764389682754624,0.0,0.0,13.877034513918492,5.000000000000123,89.99999999999805,7.000000000000054,180.0,13.877034513918492,0.027136785226617575
4,4,1163.1869228302503,143.8115372404072,1227.5043109856758,138.5960174925274,54.39289289251854,83.17182369834264,7.526218779209868,5.529411214401324,65.55303331004419,30.0,0.0,55.0,90.0,65.55303331004419,0.14810177992127516
5,5,1019.8788645684926,147.9350820034041,1142.8045635173698,131.54919169655818,50.812870921507596,15.20116008472997,24.912186985751923,12.052970526150343,39.53537421953612,31.54419865819863,120.99999999999612,50.05237310296664,30.999999999996103,32.41511064557183,0.5005406040951421
6,8,11.814339828220179,13.067572804023193,11.814339828220179,13.067572804023193,4.062477620339704,9.010854413558684,0.0,0.0,18.187687229818714,3.000000000000089,89.99999999999805,4.999999999999993,180.0,18.187687229818714,0.04678676304338233
7,6,786.9939033455906,116.40665889544017,828.529437251523,112.42302101249213,43.69366107846965,35.247114285515885,7.086872149620307,5.277745320435211,20.47335213697254,25.785862344480748,115.59999999999646,44.061628794006765,25.599999999996452,20.47335213697254,0.10589221644187168
8,9,228.9274080245321,62.57535952381182,249.7720779386421,60.41902619062885,22.113425695432934,149.91674531053238,7.137928130054583,9.105362304139774,15.936761763706771,15.529582661428545,37.90000000000005,22.024664413156344,127.90000000000006,15.936761763706771,0.10942964393838571
9,10,478.1810876809722,82.97052033940815,487.06497115745555,81.44691869893202,29.090244856659517,51.35075865407439,3.7413364797951734,1.8578491925658065,5.922563895603844,22.127416997969853,134.99999999999523,29.905591591021818,44.99999999999524,5.922563895603844,0.03777080646254019
10,11,92.39860210224462,36.64381646542239,95.32537879754125,36.08255067697032,11.524290972995999,73.36303729412424,3.1110094930749805,3.1675551671852884,6.328221562247349,10.313708498985312,134.99999999999523,11.520815280171231,44.99999999999524,6.328221562247349,0.047519656749120204
11,12,5378.1422439427,285.8226400815527,5591.017243942703,274.7429254775441,94.01772998585349,47.00745534079448,8.065514032618275,3.9581511671574092,3.7937243883240783,76.73956795920466,143.8999999999947,94.33103359782314,53.89999999999469,3.7937243883240783,0.036497641223789345
12,13,381.2365440327094,78.45696144481062,400.8400974233028,76.33470734926728,27.619568301831826,148.87677505497234,5.560390991827681,5.142097130360997,22.362126198381493,17.79992980073883,26.500000000000036,25.387831358987995,116.50000000000004,22.362126198381493,0.08313764972465579
13,14,1014.3925054478358,158.6512699556485,1250.3444084089786,145.93222323110894,57.3832427189543,109.60107926181493,17.431443779756243,23.26041465152331,94.22412090197108,28.165351367922526,18.800000000000015,58.377536389321456,108.80000000000001,89.19204334650505,0.8929453593284737
14,15,29.568019484660528,21.613125929752755,29.568019484660528,21.613125929752755,7.368359292688314,146.77069690524704,0.0,0.0,32.073705507490644,5.1568542494923815,45.000000000000064,8.19238815542512,135.00000000000006,32.073705507490644,0.0833154737181285
15,18,175.6182720163547,51.669008399234144,182.0324855787278,51.06095304867274,18.166965931049976,20.096411905012346,2.3816842979087847,3.6523611630660926,28.27620926853517,12.227922061358544,134.99999999999523,17.884776310850803,44.99999999999524,28.27620926853517,0.07184087015440059
16,21,103.72182540694797,39.3300795750921,106.82537879754123,38.73310002682736,13.451915595389735,104.36619775896729,3.0825291435555675,2.992189327961216,24.894418042117334,9.233774206790056,25.600000000000033,14.245679961847989,115.60000000000004,24.894418042117334,0.06281233559806834
17,22,56.40380592228743,31.569357815990262,61.40380592228745,30.77816799367724,11.27543447300401,77.839714930719,5.14124052136928,8.86465003246228,63.269433701125884,7.0,0.0,12.0,90.0,63.269433701125884,0.3125617253003166
18,23,251.47398089978603,82.13165671561613,271.3400974233027,79.74594119677676,35.91333645728842,55.71640778443952,5.983290141256253,7.8998695819085425,218.47655076771966,10.41463277640307,141.39999999999483,36.80863624454839,51.39999999999485,218.42742771234026,0.39346892466451544
19,24,138.33794193046475,50.63290118317623,148.2898448916085,49.867815389931536,18.18486055469379,146.5109143183149,3.068455224125046,7.1939070527347155,40.08328353892628,11.585054814132402,50.70000000000007,19.086278006937114,140.70000000000007,40.08328353892628,0.14980517929213621
