"alpha","cv_error","loglik"
0,Inf,-23433.3975545258
0.1,Inf,-19294.8844151675
0.2,Inf,-18838.028653017
0.3,Inf,-18755.9978713141
0.4,Inf,-18599.9897764097
0.5,Inf,-18600.6031562686
0.6,Inf,-18633.79014402
0.7,Inf,-18626.7881929535
0.8,Inf,-18599.1710479087
0.9,Inf,-18540.9734732854
1,Inf,-18563.8032621371
